"Jahr","PLZ","Generalabonnement","Generalabonnement.Flag","Halbtaxabonnement","Halbtaxabonnement.Flag","Bevölkerung","anteil_ga_besitzer","anteil_hta_besitzer"
2018,2954,8.39130434782609,1,22,NA,178,4.71421592574499,12.3595505617978
2018,3044,57,NA,297,NA,613,9.29853181076672,48.4502446982055
2018,3083,32,NA,205,NA,550,5.81818181818182,37.2727272727273
2018,3095,473,NA,1639,NA,3269,14.4692566534108,50.1376567757724
2018,3096,25,NA,239,NA,851,2.93772032902468,28.0846063454759
2018,3114,460,NA,1833,NA,4307,10.680287903413,42.5586254933829
2018,3122,341,NA,1676,NA,4322,7.88986580286904,38.7783433595558
2018,3123,1016,NA,4557,NA,11009,9.22881278953583,41.3934053955854
2018,3144,70,NA,439,NA,1113,6.28930817610063,39.4429469901168
2018,3148,68,NA,355,NA,1022,6.65362035225049,34.7358121330724
2018,3155,11.1194029850746,1,86,NA,408,2.72534386889084,21.078431372549
2018,3157,11.1194029850746,1,91,NA,332,3.34921776658874,27.4096385542169
2018,3159,11.1194029850746,1,45,NA,215,5.17181534189518,20.9302325581395
2018,3172,199,NA,1169,NA,3138,6.34161886551944,37.2530274059911
2018,3173,78,NA,561,NA,1510,5.16556291390729,37.1523178807947
2018,3175,109,NA,552,NA,2323,4.69220835126991,23.7623762376238
2018,3184,230,NA,1008,NA,3141,7.32250875517351,32.0916905444126
2018,3206,88,NA,355,NA,1196,7.35785953177258,29.6822742474916
2018,3226,23,NA,132,NA,425,5.41176470588235,31.0588235294118
2018,3235,156,NA,466,NA,1393,11.1988513998564,33.4529791816224
2018,3236,72,NA,375,NA,985,7.30964467005076,38.0710659898477
2018,3238,59,NA,215,NA,803,7.34744707347447,26.774595267746
2018,3250,1285,NA,4856,NA,13243,9.70323944725515,36.6684286037907
2018,3251,32,NA,252,NA,843,3.79596678529063,29.8932384341637
2018,3255,49,NA,395,NA,1171,4.18445772843723,33.731853116994
2018,3257,209,NA,817,NA,2360,8.85593220338983,34.6186440677966
2018,3266,27,NA,205,NA,593,4.5531197301855,34.5699831365936
2018,3267,97,NA,639,NA,1833,5.29187124931806,34.860883797054
2018,3293,80,NA,513,NA,1456,5.49450549450549,35.2335164835165
2018,3296,92,NA,374,NA,1594,5.77164366373902,23.4629861982434
2018,3315,435,NA,1075,NA,3187,13.6491998744901,33.7307812990273
2018,3325,56,NA,303,NA,945,5.92592592592593,32.0634920634921
2018,3360,798,NA,2048,NA,6187,12.8980119605625,33.1016647809924
2018,3368,28,NA,201,NA,704,3.97727272727273,28.5511363636364
2018,3417,26,NA,146,NA,481,5.40540540540541,30.3534303534304
2018,3422,463,NA,2565,NA,7935,5.8349086326402,32.3251417769376
2018,3423,73,NA,592,NA,1722,4.23925667828107,34.3786295005807
2018,3424,11.1194029850746,1,99,NA,337,3.29952610833075,29.3768545994065
2018,3439,22,NA,145,NA,538,4.08921933085502,26.9516728624535
2018,3457,72,NA,458,NA,1797,4.00667779632721,25.4869226488592
2018,3462,20,NA,126,NA,480,4.16666666666667,26.25
2018,3473,30,NA,185,NA,575,5.21739130434783,32.1739130434783
2018,3474,11.1194029850746,1,106,NA,372,2.98908682394479,28.494623655914
2018,3476,11.1194029850746,1,110,NA,403,2.75915706825673,27.2952853598015
2018,3508,36,NA,204,NA,834,4.31654676258993,24.4604316546763
2018,3533,77,NA,371,NA,1247,6.17481956696071,29.7514033680834
2018,3538,27,NA,158,NA,869,3.10701956271577,18.1818181818182
2018,3553,11.1194029850746,1,136,NA,496,2.24181511795859,27.4193548387097
2018,3557,11.1194029850746,1,76,NA,285,3.90154490704373,26.6666666666667
2018,3613,593,NA,2043,NA,5243,11.3103185199313,38.9662407018882
2018,3615,63,NA,343,NA,1494,4.21686746987952,22.958500669344
2018,3616,23,NA,168,NA,672,3.42261904761905,25
2018,3618,11.1194029850746,1,93,NA,609,1.82584613876431,15.2709359605911
2018,3624,155,NA,590,NA,1412,10.9773371104816,41.7847025495751
2018,3628,216,NA,813,NA,2103,10.2710413694722,38.6590584878745
2018,3636,42,NA,248,NA,762,5.51181102362205,32.5459317585302
2018,3646,147,NA,484,NA,1220,12.0491803278689,39.672131147541
2018,3661,553,NA,2092,NA,5893,9.38401493297132,35.4997454607161
2018,3665,204,NA,944,NA,2935,6.95059625212947,32.1635434412266
2018,3672,313,NA,1111,NA,3164,9.89254108723135,35.1137800252844
2018,3674,11.1194029850746,1,115,NA,377,2.94944376261926,30.5039787798409
2018,3703,227,NA,728,NA,1993,11.3898645258404,36.5278474661315
2018,3705,151,NA,500,NA,1189,12.699747687132,42.0521446593776
2018,3714,536,NA,2076,NA,6562,8.16824138982018,31.6366961292289
2018,3723,22,NA,84,NA,262,8.3969465648855,32.0610687022901
2018,3725,11.1194029850746,1,76,NA,427,2.6040756405327,17.7985948477752
2018,3752,224,NA,793,NA,2534,8.83977900552486,31.2943962115233
2018,3753,56,NA,242,NA,810,6.91358024691358,29.8765432098765
2018,3756,11.1194029850746,1,38,NA,211,5.26985923463253,18.0094786729858
2018,3777,11.1194029850746,1,140,NA,347,3.20443890059788,40.3458213256484
2018,3780,127,NA,1231,NA,2954,4.29925524712255,41.6723087339201
2018,3784,11.1194029850746,1,144,NA,465,2.39126945915583,30.9677419354839
2018,3801,0,NA,10.8771929824561,2,NA,NA,NA
2018,3804,24,NA,153,NA,639,3.75586854460094,23.943661971831
2018,3818,135,NA,1213,NA,3645,3.7037037037037,33.278463648834
2018,3852,149,NA,678,NA,1716,8.68298368298368,39.5104895104895
2018,3855,271,NA,1425,NA,3741,7.24405239240845,38.0914194065758
2018,3856,21,NA,191,NA,480,4.375,39.7916666666667
2018,3858,37,NA,156,NA,518,7.14285714285714,30.1158301158301
2018,3901,0,NA,10.8771929824561,2,1,0,1087.71929824561
2018,3902,983,NA,3472,NA,8169,12.0332966091321,42.5021422450728
2018,3910,104,NA,370,NA,1000,10.4,37
2018,3925,102,NA,494,NA,1251,8.15347721822542,39.4884092725819
2018,3927,22,NA,148,NA,360,6.11111111111111,41.1111111111111
2018,3932,192,NA,697,NA,1330,14.4360902255639,52.406015037594
2018,3937,134,NA,617,NA,1328,10.0903614457831,46.460843373494
2018,3944,56,NA,191,NA,436,12.8440366972477,43.8073394495413
2018,3946,90,NA,363,NA,966,9.3167701863354,37.5776397515528
2018,3947,22,NA,65,NA,184,11.9565217391304,35.3260869565217
2018,3961,115,NA,743,NA,2585,4.44874274661509,28.742746615087
2018,3963,277,NA,2362,NA,7135,3.8822704975473,33.104414856342
2018,3965,37,NA,306,NA,1638,2.25885225885226,18.6813186813187
2018,3974,65,NA,244,NA,856,7.59345794392523,28.5046728971963
2018,3975,50,NA,942,NA,1797,2.78241513633834,52.4207011686144
2018,3987,23,NA,97,NA,209,11.0047846889952,46.4114832535885
2018,3988,39,NA,173,NA,450,8.66666666666667,38.4444444444444
2018,3996,11.1194029850746,1,56,NA,142,7.83056548244692,39.4366197183099
2018,3998,42,NA,194,NA,454,9.2511013215859,42.7312775330396
